Name,C02502,C00116,C00137,C01697,C01697,C01697,C00192,C00189,C00315,C01026,C00041,C00141,C05984,C00213,C02356,C00233,C00183,C00086,C00123,C00407,C00148,C00037,C00065,C00188,C00099,C00263,C05145,C00872,C00073,C00049,C01879,C00791,C01087,C00062,C00025,C00079,C01042,C00152,C00956,C00064,C00077,C00327,C00047,C00135,C00082,C00078,C00491,C16884,C00503,C01620,C00259,C00181,C02674,C00121,C00532,C00474,C00507,C00795,C08356,C00198,C01487,C00159,C00984,C00031,C00392,C00794,C00880,C00243,C00208,C00252,C01620,C00252,C01601,C06424,C08362,C00249,C01595,C00712,C00712,C01530,C06429,C08281,C08320,C00093,C00346,C00187,C01551,C00242,C01762,C00022,C00186,C00160,C00209,C00383,C00180,C01384,C00042,C00258,C00122,C00408,C00489,C00711,C01013,C00026,C00311,C00158,C00366,C08363,C03758,C00009,C02477
G1,72510,75576,189956,37981,24465,26212,11362,73234,14846,25580,337471,2490,91248,2508,30124,4264,310086,3185,156376,34353,268611,298109,134183,217482,1496,186,897,30053,24635,14384,2377350,54538,4396,28436,36959,74004,3980,42356,383,539386,117514,4058,246998,78863,101584,217949,36284,42325,51321,6299,2435,4455,656,3945,139237,8203,7264,8627,97711,195817,248465,146341,199704,137635,32088,65587,4383,10091,5967,9424,32333,81038,1203,5750,16702,404181,51184,2434,7853,162784,415,951,4053,3768,14665,21203,241,2756,623,89835,977002,31112,101823,202,8102,11537,1764,44220,8998,6736,7800,4390,7223,4048,22499,371858,58273,316936,2063,42145,17119
G3,75164,47002,86570,19442,30915,15266,12767,69462,13049,45039,275061,2068,83755,2079,39565,3178,349347,2776,168188,9953,215075,150196,80308,149561,784,241,858,3953,15300,11481,1429028,23407,3445,17723,13241,52205,2111,22803,256,323459,92579,7606,236854,51907,101238,187076,25788,42215,57101,6247,2775,2753,398,2794,6314,6138,6464,5014,7889,89401,130312,257102,82499,250615,193008,131188,4557,4162,5750,9499,17142,70300,704,2651,4574,204902,27838,988,7191,68837,196,531,829,1908,11274,18710,223,1981,579,104023,1049380,27370,52272,497,3216,8584,799,17015,8301,6061,3974,2421,3381,2585,225409,236929,72851,136081,1379,332662,12243
G4,74626,70410,225236,37085,47346,27608,12440,51028,12717,27350,259347,2755,158864,2326,50696,3039,358300,3220,212236,21500,228368,373894,110239,177877,1847,307,572,35622,26675,24894,1043838,46881,6817,15729,12846,80617,3386,36627,383,526960,114000,3638,235369,62671,111773,180961,24688,70790,65584,8405,5238,5196,1005,3359,8156,8666,6872,7473,120161,151092,425470,389669,194326,111394,73530,87580,5477,5464,10121,12543,31335,112490,937,5601,5960,333286,47855,1310,33339,183354,252,1000,1587,4042,15257,23378,86,2522,666,87244,850932,39144,142492,565,4328,6716,3495,19126,10551,5912,5089,3944,6320,4163,31648,301045,37167,392034,931,250090,21352
G5,70840,51348,83038,28177,39841,16043,5988,52713,16211,45066,352953,2494,86058,3240,30160,1579,391647,2456,186681,14830,267993,339716,92985,138555,1308,303,990,33387,22780,11449,400972,38911,6257,26034,12218,79217,3586,32183,222,497152,127688,491,201109,78622,128220,178943,20274,63389,55949,12577,5015,4975,743,3205,8113,12428,5215,6960,6612,108330,587305,691542,298080,694303,241352,425044,3950,9543,9058,11296,43788,98797,523,3751,4794,208685,35066,1251,9331,96586,290,1330,1560,5126,9619,26288,145,3020,678,113875,1103353,51032,40588,590,3636,9780,1982,34695,7811,6121,2366,6266,9091,4351,76655,272094,63791,195191,720,127334,16413
G6,54414,88779,161529,28712,39235,19083,6295,37107,29101,28681,337847,3121,145871,13293,51991,4954,431827,2234,232923,59141,257403,354850,115961,204296,1047,428,68,27187,38134,7343,380484,43147,7913,42554,22708,113921,5446,33132,576,492446,156642,555,227268,88780,120858,199123,22435,79830,64112,9784,5366,5323,626,3671,9669,14048,12006,10678,3396,128874,132990,287549,81374,266473,115949,146183,3142,4724,10353,15202,39169,110734,587,6202,8301,199950,44093,5187,4385,102090,1000,1005,798,4720,7063,20286,162,4682,734,141763,739655,60124,71463,467,4742,10212,2588,27617,8390,9502,2679,11510,9013,4257,53775,275284,39593,261816,1986,433504,17511
G7,66346,78795,142578,8615,1403,1317,5410,39959,10400,64237,149711,1868,200722,789,68909,2288,211760,2283,81317,62365,86113,302906,131091,162695,2024,654,677,21677,21790,12736,894394,64066,2755,16819,29802,103317,5075,28282,622,504410,130235,5297,249202,66755,89560,117108,30491,7465,32852,14955,14033,13922,803,5416,4339,3538,10284,16305,8722,190118,433114,409877,66869,104251,409134,295434,4453,2879,14711,12291,27778,325446,570,13757,23112,522526,61982,4358,243254,220569,798,748,1270,3255,10168,27383,330,4534,914,63141,1137525,59327,56153,484,2564,12658,3952,40639,9663,5282,9708,8926,6081,23201,363034,358767,55765,409313,1217,275167,27076
G9,70586,97149,92471,30548,33422,20945,7128,43560,17455,34238,271426,3568,211445,5823,58459,4998,449608,3325,247904,22176,222748,256148,102869,152335,1618,239,775,36263,29070,4825,602861,43181,6023,25414,13995,94220,3957,29083,354,427459,114515,4260,266370,72273,139542,185657,21193,48803,63139,8120,4885,4846,567,3260,6935,10843,10056,10474,6945,132609,285028,345958,295864,231748,154682,184880,2744,2108,9328,10072,36503,92017,782,7387,14934,375362,55163,3981,5615,124404,2495,1235,1386,4239,8734,19954,231,3875,290,100969,203388,39098,86198,624,4746,10200,2158,22963,9390,8350,3717,10362,8059,5399,423572,418594,8384,381802,1435,739347,19578
G10,56563,98600,140544,21733,26789,15447,4562,47684,9620,29263,377267,2515,136985,1881,31773,4116,394630,2414,215450,8056,278770,242161,105305,185122,1181,313,1163,35225,34996,8250,148857,70651,6193,26755,18580,103923,5527,35313,649,380666,112016,5005,105365,70974,184403,249615,26755,53567,72014,10581,5356,5313,900,3213,8170,11497,5846,11663,7105,133171,441546,288629,194750,118141,148189,396352,3113,1938,7450,9822,40281,86336,440,7966,12315,395555,49402,3752,8535,119708,1807,554,1243,1907,4265,18347,230,2926,557,133373,894922,53032,74795,331,5114,9541,2061,27368,7813,11277,2480,11274,10158,4484,410819,405991,23309,341412,2488,649449,16498
G11,65148,109585,106939,9795,2142,2325,5855,54717,5044,66758,524082,2370,153640,21572,77541,3838,434473,5393,227853,39617,424076,302628,135782,316103,1538,534,1852,29310,43329,17989,246332,79100,2284,41095,95544,119809,4496,50705,915,519497,183166,13647,207734,75513,187395,263803,28228,8542,29047,10159,19314,19160,1007,5377,44846,22738,6685,19724,6087,92823,231751,453269,22660,182604,155252,274452,2518,7786,15648,12327,35849,347006,471,3326,1712,177369,36085,1053,2843,80091,529,570,575,3878,9430,25909,138,2352,796,111472,614696,55047,93430,505,3513,10066,3168,39778,7647,8767,7035,7282,7750,18214,163941,397430,21604,206024,783,187051,28105
G13,64067,57736,74310,10295,2341,2503,6328,52232,7013,34800,400948,1810,121013,727,38027,1728,266403,1084,90360,14140,217578,238040,90757,207706,2287,530,1402,35623,27675,12275,1061205,115296,2676,16081,27771,82157,5108,32187,636,476286,94884,5723,145901,52673,49381,174562,23840,5504,19150,11592,12469,12370,1247,4635,30247,12688,9210,20612,15343,42951,466975,551694,168317,102106,167570,919491,4585,6539,10917,8482,42148,249801,817,4691,6359,56041,6905,1645,15821,39125,444,741,1231,2000,8783,4894,105,2104,1219,104313,165745,54985,83705,391,3507,9942,3525,42360,8329,6360,6393,9436,10318,18891,406849,402068,24260,47626,791,587121,12854
