ID,Bifidobacterium longum,Bacteroides caccae,Bacteroides cellulosilyticus,Bacteroides coprocola,Bacteroides coprophilus,Bacteroides dorei,Bacteroides eggerthii,Bacteroides finegoldii,Bacteroides fragilis,Bacteroides massiliensis,Bacteroides ovatus,Bacteroides plebeius,Bacteroides stercoris,Bacteroides thetaiotaomicron,Bacteroides uniformis,Bacteroides vulgatus,Bacteroides xylanisolvens,Barnesiella_intestinihominis,Odoribacter splanchnicus,Parabacteroides distasonis,Parabacteroides merdae,Parabacteroides unclassified,Paraprevotella unclassified,Prevotella copri,Prevotella stercorea,Alistipes onderdonkii,Alistipes putredinis,Alistipes shahii,Eubacterium eligens,Eubacterium rectale,Eubacterium siraeum,Ruminococcus gnavus,Ruminococcus torques,Coprococcus comes,Coprococcus sp ART55 1,Roseburia hominis,Roseburia intestinalis,Roseburia inulinivorans,Oscillibacter unclassified,Faecalibacterium prausnitzii,Ruminococcus bromii,Ruminococcus callidus,Ruminococcus lactaris,Subdoligranulum unclassified,Megamonas rupellensis,Megamonas unclassified,Sutterella wadsworthensis,Bilophila unclassified,Escherichia coli,Klebsiella phage KP36
G1,0,2.54099,0.26364,0.10427,0,2.45359,0.05496,2.30633,0.75714,0.0975,1.8659,0.20194,0.13799,0.89703,1.55047,3.15256,0.02927,0.00428,0,0.10635,0.7396,0,0.00987,45.48107,0.00789,0.02656,3.25269,0.28216,0.02132,9.27625,0.00407,0.78114,0.066,0.00621,0,0.01016,0.00791,0.04693,1.16805,4.85773,0.02861,0.00068,0,0.06104,0.02492,5.76611,5.12108,1.00635,0.10924,0
G2,0.55048,1.09818,0.018,10.34353,0,0.10558,0.02262,0.01004,0.01752,2.88185,0.55398,18.61384,1.43106,0.14466,0.25957,4.74043,0.08632,0,0.82576,0.30033,1.00806,0,0,0.18117,20.70565,0.76848,1.17434,0.57252,0.51211,3.51749,0,0.05927,0.70203,1.06745,0,0.91345,0.80832,0.67592,0.05858,10.60007,0.58483,0,0.53315,1.53831,0.1797,0.67403,0.00307,0.73077,0.1812,0
G3,0.93054,0.75682,0.37057,0.06453,0,0.06841,0.04114,0.06471,0.02604,3.04905,2.34488,4.304,12.05042,0.43321,2.81952,4.75478,0.60752,0.95046,0.35425,0.13166,0.44925,0,1.07803,0.25283,0,0.90164,8.13554,1.3431,0.8525,17.39825,8.23622,0.037,0.20834,1.6247,0,0.29219,4.21314,0.68513,0.62212,7.18794,0.90111,0.12292,0.6555,0.3854,1.24653,3.66543,0.00219,0.94322,0.04526,0
G4,0.77683,5.33721,0,0.05567,0,0.22379,0.02899,0.00562,5.03382,0.04868,6.31984,0.08098,36.38836,0.00353,0.04131,16.39714,0.00739,0,0,1.94173,0.00907,1.49349,0.00426,0.17661,0,0.00575,0.05262,0.00173,1.02354,5.69553,0,0.88481,0,0,0,0.0954,0,1.46561,0,0.29951,0.01047,0,0,0.99801,2.50914,9.52407,0.00815,0.04608,0.1143,0
G5,0.21846,2.25074,2.7355,0.06455,0,0.41474,0.04704,0.00854,0.20554,0.06903,0.06859,3.48051,0.88218,1.61165,0.31882,10.89872,0.63658,0,0,0.01554,2.00192,0,0.0052,47.20033,0,0.1063,4.60651,1.04418,0.01402,3.61665,0,0.08517,0.05745,0.18711,0,0.35464,0.0038,2.12965,0.86723,2.32744,0.19329,0,0,1.88632,0.01619,0.10442,0.01253,1.08402,0.46938,0
G6,0.01227,0.03792,0,0.26943,0.28903,0.09139,0.00755,0.2644,0.01073,0.18905,0.0198,0.85331,0.08021,0.07102,0.20447,0.09454,0.00878,0.95191,0.16871,0.02036,0.06045,0,0.11568,7.65126,0,0.02404,2.17144,0.33135,0.16425,0.55856,0,0.00764,0.01942,0.18991,0,0.30411,0.16031,0.09636,0.10079,1.48721,0.20762,0.16274,0,3.59578,0.01212,0.07016,0.0004,0.01427,2.00076,73.90811
G7,0.28868,1.10315,0,22.50442,0,0.05614,0.02603,0.00261,0.04208,11.7435,0.61693,0.06615,13.97886,0.11429,0.33021,3.22869,0.01201,0.00397,0,2.53794,0.00807,0,0.00588,0.15006,0,0.43151,2.7614,0.00269,0.41305,0.51477,0,1.63111,0.2721,0.41229,0,0.01731,0.13823,0.12409,0,0.19353,0.48226,0,0,0.30331,5.29073,24.49059,0.0026,1.61474,0.38375,0
G8,0,3.74921,0.22117,0.07423,0,0.09443,0.03453,0.24781,8.89106,0.06971,3.18309,21.165,0.11206,0.86107,2.64886,21.46296,0.40906,0,0,1.56092,0,1.92751,0,0.25068,0,0.3866,1.08264,0.01097,0.00207,0.07245,0,3.19846,2.34942,0,0,0,1.85929,0.02508,0.4303,2.66673,0.00399,0,0,0.09055,0.00107,0.0886,0.00584,0.60954,0.39868,0
G9,0.49548,0.73151,0.13128,0.07106,0,2.0985,0.3098,0.05455,0.02502,1.74106,1.15716,7.23999,7.2142,0.46007,0.00636,0.25357,0.05538,2.0773,0.45036,1.38016,1.63156,0,0.98435,0.25013,0.01637,0.73561,5.91486,0.43792,0.69003,16.85076,2.79382,0.00451,0.15807,1.20885,0,1.06541,0.5624,0.21564,0.74516,11.07406,12.34895,0.00562,0.00173,1.71186,0.03899,7.41328,0.01283,0.88218,0.05818,0
G10,1.00795,0.01912,0.01576,0.03803,0,16.16985,0.03162,0.5022,0.02661,6.19107,0.82693,0.07324,15.61102,0.67955,0.72682,3.07876,0.02367,0.00135,0,0.11714,0.00728,1.39484,0.00227,0.12597,0.00126,0.00742,0.4325,0.16303,0.00491,0.05283,0,0.16625,0.44393,0.00229,0,0.0008,0.05227,0.01726,0.02988,0.30699,0.00636,0,0.00071,0.39106,6.76421,27.62176,0.0044,0.19101,0.22624,0
